City,Country,Temperature (°C),Weather Description,Wind Speed (m/s),Pressure (hPa),Humidity (%),Dew Point (°C),Visibility (m)
Monaco,MC,23.25,broken clouds,3.09,1015,68,16.85,10000
Andorra la Vella,AD,17.82,clear sky,1.54,1019,50,7.82,10000
San Marino,SM,21.75,scattered clouds,2.57,1014,67,15.15,10000
Vatican City,VA,24.7,few clouds,1.54,1014,40,12.7,10000
Bern,CH,16.97,broken clouds,2.24,1018,62,9.37,10000
Minsk,BY,25.86,clear sky,3.18,1016,46,15.059999999999999,10000
Tirana,AL,24.49,light rain,3.09,1013,57,15.889999999999999,10000
Chișinău,MD,20.24,broken clouds,1.03,1010,68,13.839999999999998,10000
Podgorica,ME,23.87,few clouds,2.57,1013,57,15.270000000000001,10000
Skopje,MK,21.82,scattered clouds,3.09,1013,64,14.620000000000001,10000
Sarajevo,BA,19.95,scattered clouds,2.57,1016,60,11.95,10000
Tbilisi,GE,25.84,clear sky,2.06,1014,50,15.84,10000
Yerevan,AM,29.09,few clouds,1.03,1014,21,13.29,10000
Baku,AZ,24.03,clear sky,9.26,1012,50,14.030000000000001,10000
Ankara,TR,21.53,broken clouds,2.06,1013,52,11.930000000000001,10000
Kyiv,UA,23.67,overcast clouds,6.57,985,37,11.070000000000002,10000
Hamburg,DE,16.36,moderate rain,5.66,1009,87,13.76,10000
Munich,DE,20.16,overcast clouds,1.34,1017,47,9.56,10000
Cologne,DE,17.89,few clouds,4.63,1011,78,13.49,10000
Frankfurt am Main,DE,17.23,overcast clouds,3.6,1013,79,13.030000000000001,10000
Stuttgart,DE,18.09,clear sky,3.09,1015,69,11.89,10000
Düsseldorf,DE,17.67,broken clouds,6.17,1010,74,12.470000000000002,10000
Dortmund,DE,17.09,few clouds,5.66,1011,82,13.49,10000
Essen,DE,17.54,overcast clouds,1.79,1011,78,13.139999999999999,7530
Leipzig,DE,20.56,light rain,5.14,1013,54,11.36,10000
Bremen,DE,16.45,light rain,7.2,1008,90,14.45,10000
Dresden,DE,20.41,clear sky,3.09,1015,42,8.81,10000
Hanover,DE,17.37,broken clouds,4.63,1009,78,12.97,10000
Nuremberg,DE,19.98,clear sky,3.6,1015,52,10.38,10000
Duisburg,DE,18.23,broken clouds,6.17,1030,66,11.43,10000
Bochum,DE,17.33,overcast clouds,1.79,1011,80,13.329999999999998,10000
Wuppertal,DE,16.65,overcast clouds,5.19,1011,87,14.049999999999999,10000
Bielefeld,DE,15.39,overcast clouds,1.34,1009,85,12.39,10000
Bonn,DE,16.87,few clouds,4.63,1009,84,13.670000000000002,10000
Münster,DE,16.66,broken clouds,5.66,1008,87,14.06,10000
Karlsruhe,DE,17.78,overcast clouds,3.32,1013,75,12.780000000000001,10000
Mannheim,DE,17.67,overcast clouds,3.6,1014,74,12.470000000000002,10000
Augsburg,DE,18.95,clear sky,2.57,1016,45,7.949999999999999,10000
Wiesbaden,DE,17.52,moderate rain,5.66,1013,76,12.719999999999999,10000
Gelsenkirchen,DE,17.96,overcast clouds,1.79,1011,79,13.760000000000002,8599
Mönchengladbach,DE,17.3,broken clouds,5.14,1010,79,13.100000000000001,10000
Braunschweig,DE,18.61,scattered clouds,4.63,1010,65,11.61,10000
Direktionsbezirk Chemnitz,DE,18.05,overcast clouds,4.49,1014,38,5.65,10000
Kiel,DE,15.47,light intensity drizzle,4.63,1006,94,14.270000000000001,10000
Aachen,DE,16.87,overcast clouds,8.06,996,77,12.270000000000001,10000
Halle,DE,20.03,light rain,5.14,1013,52,10.430000000000001,10000
Magdeburg,DE,19.12,overcast clouds,4.02,1011,73,13.72,10000
Fribourg,CH,16.14,few clouds,0.51,1017,58,7.74,10000
Krefeld,DE,17.87,broken clouds,6.17,1010,70,11.870000000000001,10000
Lübeck,DE,15.99,scattered clouds,3.09,1010,64,8.79,10000
Oberhausen,DE,17.98,overcast clouds,5.82,1045,73,12.58,7350
Erfurt,DE,17.69,overcast clouds,5.66,1013,66,10.89,10000
Mainz,DE,17.85,light rain,5.66,1013,80,13.850000000000001,10000
Rostock,DE,20.21,overcast clouds,6.69,1011,65,13.21,10000
Kassel,DE,15.72,few clouds,5.14,1011,82,12.120000000000001,10000
Hagen,DE,15.83,overcast clouds,2.24,1009,86,13.030000000000001,9895
Saarbrücken,DE,15.63,light rain,4.63,1016,88,13.23,10000
Hamm,DE,16.78,overcast clouds,7.45,1010,87,14.180000000000001,8430
Mülheim,DE,17.78,broken clouds,6.17,1030,70,11.780000000000001,10000
Potsdam,DE,20.34,overcast clouds,4.66,1013,61,12.54,10000
Ludwigshafen am Rhein,DE,17.76,overcast clouds,3.6,1014,75,12.760000000000002,10000
Oldenburg,DE,16.47,moderate rain,2.68,1006,81,12.669999999999998,8905
Leverkusen,DE,18,overcast clouds,4.62,1011,76,13.2,9296
Osnabrück,DE,15.63,overcast clouds,6.05,1010,89,13.43,8672
Solingen,DE,16.15,overcast clouds,4.84,1011,91,14.349999999999998,7970
Heidelberg,ZA,20.72,clear sky,1.76,1021,21,4.919999999999998,10000
Herne,DE,18.11,overcast clouds,5.78,1009,78,13.709999999999999,10000
Neuss,DE,17.81,light rain,6.17,1010,78,13.409999999999998,10000
Regierungsbezirk Darmstadt,DE,16.63,overcast clouds,4.45,1014,81,12.829999999999998,10000
Paderborn,DE,16.14,light rain,7.72,1010,83,12.74,10000
Regensburg,DE,18.98,overcast clouds,2.68,1015,62,11.38,10000
Ingolstadt,DE,20.19,overcast clouds,2.07,1015,65,13.190000000000001,10000
Wurzburg,DE,16.11,overcast clouds,2.23,1015,96,15.309999999999999,10000
Wolfsburg,DE,19.08,overcast clouds,5.34,1011,61,11.279999999999998,8239
Ulm,DE,18.95,overcast clouds,4.23,1015,62,11.35,10000
Heilbronn,DE,18.15,overcast clouds,0.78,1015,86,15.349999999999998,10000
Pforzheim,DE,17.81,overcast clouds,1.71,1015,74,12.61,10000
Göttingen,DE,16.77,moderate rain,5.84,1012,89,14.57,10000
Bottrop,DE,17.75,overcast clouds,5.85,1010,78,13.35,8187
Trier,DE,15.85,light rain,5.32,1014,97,15.25,9696
Recklinghausen,DE,17.53,overcast clouds,2.68,1008,80,13.530000000000001,9309
Reutlingen,DE,18.03,overcast clouds,1.92,1015,74,12.830000000000002,10000
Bremerhaven,DE,15.59,light rain,6.24,1007,89,13.39,8159
Koblenz,DE,15.93,light rain,4.18,1013,94,14.73,10000
Bergisch Gladbach,DE,17.25,few clouds,4.63,1010,78,12.85,10000
Jena,DE,18.71,overcast clouds,5.76,1013,51,8.91,10000
Remscheid,DE,15.81,overcast clouds,5.43,1011,87,13.21,7748
Erlangen,DE,20.17,clear sky,3.6,1015,52,10.570000000000002,10000
Moers,DE,18.21,broken clouds,6.17,1010,70,12.21,10000
Siegen,DE,14.97,overcast clouds,5.14,1011,88,12.57,10000
Hildesheim,DE,17.49,light rain,6.4,1011,77,12.889999999999999,10000
Salzgitter,DE,18.25,overcast clouds,1.79,1011,66,11.45,10000
Cottbus,DE,21.65,overcast clouds,2.24,1013,50,11.649999999999999,10000
Kaiserslautern,DE,16.82,moderate rain,3.6,1013,67,10.22,10000
Gütersloh,DE,16.53,overcast clouds,6.94,1010,83,13.13,8511
Schwerin,DE,18.14,overcast clouds,3.13,1008,80,14.14,10000
Witten,DE,17.07,overcast clouds,5.2,1010,83,13.67,10000
Gera,DE,19.46,overcast clouds,0.45,1012,57,10.860000000000001,10000
Iserlohn,DE,15.06,few clouds,5.66,1010,87,12.46,10000
Ludwigsburg,DE,18.07,overcast clouds,0.52,1017,70,12.07,10000
Esslingen am Neckar,DE,18.79,clear sky,3.09,1015,59,10.59,10000
Tübingen,DE,18.26,overcast clouds,2.09,1015,77,13.660000000000002,10000
Flensburg,DE,15.07,light rain,6.17,1007,94,13.870000000000001,10000
Zwickau,DE,18.68,light rain,6.16,1014,57,10.08,10000
Villingen-Schwenningen,DE,16.42,overcast clouds,4.19,1015,79,12.220000000000002,10000
Giessen,DE,14.38,overcast clouds,4.61,983,91,12.58,10000
Konstanz,DE,18.85,overcast clouds,3.91,1015,73,13.450000000000001,10000
Dessau,DE,21.67,overcast clouds,0.89,1015,57,13.070000000000002,10000
Worms,DE,17.51,overcast clouds,4.1,1014,91,15.71,10000
Rosenheim,DE,21.01,overcast clouds,1.08,1015,47,10.410000000000002,10000
Offenbach,DE,17.11,overcast clouds,3.6,1013,79,12.91,10000
Kempten (Allgäu),DE,19.14,overcast clouds,2.07,1016,48,8.74,10000
Baden-Baden,DE,18.17,light rain,3.6,1014,71,12.370000000000001,10000
Langenfeld,DE,18.13,overcast clouds,4.87,1011,76,13.329999999999998,5614
Wilhelmshaven,DE,15.45,light rain,6.74,1007,87,12.85,7208
Nordhausen,DE,13.94,overcast clouds,6,1012,91,12.139999999999999,10000
Norderstedt,DE,16.35,light rain,5.66,1007,91,14.55,10000
Garbsen,DE,17.18,broken clouds,4.63,1010,78,12.78,10000
Wolfenbüttel,DE,18.39,light rain,4.63,1010,66,11.59,10000
Fulda,DE,14.5,overcast clouds,1.79,1029,90,12.5,10000
Hof,DE,18.17,scattered clouds,6.69,1015,59,9.970000000000002,10000
Landshut,DE,19.42,overcast clouds,2.39,1015,55,10.420000000000002,10000
Aschaffenburg,DE,17.06,overcast clouds,4.07,1014,95,16.06,9956
Neuwied,DE,15.95,light rain,4.33,1011,92,14.35,10000
Dormagen,DE,18.23,overcast clouds,5.64,1011,78,13.83,10000
Bayreuth,DE,18.51,overcast clouds,3.58,1015,64,11.310000000000002,10000
Hürth,DE,17.71,broken clouds,7.72,1011,76,12.91,10000
Brandenburg,DE,21.02,overcast clouds,6.19,1012,53,11.62,10000
Neubrandenburg,DE,21.99,broken clouds,7.3,1012,60,13.989999999999998,10000
Görlitz,DE,21.2,overcast clouds,2.24,1017,51,11.399999999999999,10000
Gladbeck,DE,18.09,overcast clouds,3.13,1008,79,13.89,10000
Lüdenscheid,DE,13.93,overcast clouds,0.45,1009,91,12.129999999999999,7609
Castrop-Rauxel,DE,17.3,overcast clouds,5.24,1010,79,13.100000000000001,10000
Bitterfeld-Wolfen,DE,21.03,overcast clouds,4.58,1013,54,11.830000000000002,10000
Landau,DE,17.43,light rain,5.23,1015,71,11.629999999999999,10000
Frechen,DE,18.22,scattered clouds,5.14,1010,69,12.02,10000
Kaufbeuren,DE,18.93,light rain,2.15,1015,52,9.33,10000
Straubing,DE,20.19,overcast clouds,2.45,1019,64,12.990000000000002,10000
Grevenbroich,DE,18.03,broken clouds,5.14,1010,78,13.63,10000
Marl,DE,18.05,overcast clouds,3.13,1008,80,14.05,9568
Bamberg,DE,19.99,light rain,2.3,1015,88,17.59,10000
Langenhagen,DE,17.33,broken clouds,4.63,1010,77,12.729999999999999,10000
Aalen,DE,17.76,overcast clouds,3.19,1015,66,10.96,10000
Hamelin,DE,17.28,overcast clouds,5.27,1010,96,16.48,10000
Meerbusch,DE,17.88,broken clouds,6.17,1010,72,12.28,10000
Bad Homburg,DE,16.88,overcast clouds,3.53,1013,97,16.279999999999998,10000
Düren,DE,17.7,broken clouds,7.72,1011,63,10.299999999999999,10000
Hürth,DE,17.71,broken clouds,7.72,1011,76,12.91,10000
Schwabach,DE,19.81,clear sky,3.6,1015,52,10.209999999999999,10000
Waiblingen,DE,18.56,clear sky,3.09,1015,67,11.959999999999999,10000
Plauen,DE,17.26,overcast clouds,0.89,1015,66,10.46,10000
Herten,DE,18.04,overcast clouds,3.13,1008,79,13.84,10000
Loerrach,DE,16.35,moderate rain,3.6,1016,79,12.150000000000002,10000
Velbert,DE,16.47,overcast clouds,5.73,1010,71,10.669999999999998,10000
Ahaus,DE,15.79,moderate rain,1.34,1007,87,13.19,10000
Bruchsal,DE,17.99,overcast clouds,3.32,1015,81,14.189999999999998,10000
Schwerte,DE,16.33,few clouds,5.66,1010,85,13.329999999999998,10000
Sindelfingen,DE,17.3,clear sky,3.09,1015,62,9.700000000000001,10000
Elmshorn,DE,16.39,light rain,0.45,1009,91,14.59,8296
Herford,DE,15.73,overcast clouds,7.1,1009,85,12.73,9755
Strausberg,DE,20.03,broken clouds,5.61,1014,46,9.23,10000
Hockenheim,DE,17.91,overcast clouds,3.6,1014,66,11.11,10000
Kamp-Lintfort,DE,18.08,overcast clouds,6.87,1010,87,15.479999999999999,10000
Baunatal,DE,15.37,few clouds,5.14,1011,82,11.77,10000
Lindau,DE,19.51,clear sky,1.03,988,75,14.510000000000002,10000
Löhne,DE,15.74,light rain,7.15,1009,88,13.34,9452
Bühl,DE,18.35,light rain,3.6,1014,71,12.55,10000
Unna,DE,16.44,few clouds,5.66,1010,84,13.240000000000002,10000
Limburg,NL,16.79,light rain,6.83,1010,87,14.19,10000
Neunkirchen,DE,15.03,moderate rain,4.63,1013,87,12.43,10000
Minden,DE,16.29,light rain,6.9,1009,84,13.09,10000
Hennef,DE,16.65,light intensity shower rain,4.63,1011,83,13.249999999999998,10000
Wismar,DE,17.58,overcast clouds,7.13,1009,85,14.579999999999998,10000
Passau,DE,19.48,overcast clouds,0.45,1017,68,13.08,10000
Dachau,DE,20.05,overcast clouds,2.01,1015,40,8.05,10000
Biberach an der Riss,DE,19.04,overcast clouds,4.98,1015,63,11.639999999999999,10000
Gummersbach,DE,14.62,light rain,5.05,1011,87,12.02,10000
Backnang,DE,17.9,overcast clouds,1.2,1015,75,12.899999999999999,10000
Homburg,DE,15.24,light rain,4.63,1014,86,12.440000000000001,10000
Pinneberg,DE,16.53,light rain,5.66,1009,88,14.13,10000
Ravensburg,DE,19.07,clear sky,1.03,1016,60,11.07,10000
Heidenheim,DE,17.2,overcast clouds,3.74,1015,66,10.399999999999999,10000
Nordhorn,DE,16.39,overcast clouds,7.44,1008,83,12.99,10000
Borken,DE,17.87,overcast clouds,6.51,1009,85,14.870000000000001,10000
Sankt Ingbert,DE,15.31,light rain,4.63,1014,86,12.510000000000002,10000
Freising,DE,19.25,clear sky,2.57,1016,52,9.65,10000
Dülmen,DE,17.44,overcast clouds,7.08,1009,72,11.840000000000002,10000
Kitzingen,DE,19.9,light rain,1.7,1015,94,18.7,10000
Stade,DE,16.61,light rain,4.83,1008,97,16.009999999999998,10000
Warendorf,DE,16.94,overcast clouds,8.04,1009,82,13.340000000000002,9284
Rüsselsheim am Main,DE,17.5,light rain,5.66,1013,81,13.7,10000
Lehrte,DE,17.75,light rain,5.74,1010,82,14.15,10000
Griesheim,DE,17.35,light rain,3.6,1013,79,13.150000000000002,10000
Bad Kreuznach,DE,17.46,overcast clouds,5.27,1014,93,16.060000000000002,10000
Kleve,DE,17.4,overcast clouds,6.67,1009,77,12.799999999999999,10000
Rheine,DE,15.31,light rain,1.34,1008,60,7.3100000000000005,10000
Neumünster,DE,16.45,light rain,2.68,1008,93,15.049999999999999,9845
Coburg,DE,18.62,light rain,2.62,1015,85,15.620000000000001,10000
Aschersleben,DE,18.15,overcast clouds,8.13,1012,74,12.95,10000
Schwäbisch Hall,DE,18.63,few clouds,3.6,1015,59,10.43,10000
Königs Wusterhausen,DE,19.38,clear sky,5.66,1014,57,10.78,10000
Lüdinghausen,DE,17.5,overcast clouds,7.65,1009,82,13.9,7980
Husum,DE,15.57,light rain,5.69,1007,97,14.97,10000
Schleswig,DE,15.42,light rain,0.89,1006,91,13.62,10000
Starnberg,DE,19.74,clear sky,1.54,1016,44,8.54,10000
Alzey,DE,17.52,overcast clouds,5.52,1014,92,15.92,10000
Halberstadt,DE,18.65,overcast clouds,6.49,1011,74,13.45,10000
Salzwedel,DE,19.72,overcast clouds,5.64,1011,80,15.719999999999999,10000
Delmenhorst,DE,16.5,light rain,7.2,1008,90,14.5,10000
Mühldorf,DE,20.55,overcast clouds,0.45,1015,58,12.15,10000
Celle,DE,17.94,light intensity shower rain,6.17,1010,72,12.340000000000002,10000
Oelde,DE,16.84,overcast clouds,7.13,1010,81,13.04,10000
Olpe,DE,13.94,overcast clouds,4.58,1011,90,11.94,10000
Papenburg,DE,15.08,moderate rain,1.79,1007,94,13.88,6637
Werne,DE,16.9,few clouds,5.66,1010,84,13.7,10000
Eisenach,DE,16.65,overcast clouds,4.69,1013,93,15.249999999999998,10000
Neuruppin,DE,21.13,overcast clouds,6.75,1012,58,12.729999999999999,10000
Weißenfels,DE,19.9,light rain,0.45,1009,57,11.299999999999999,10000
Friedberg,DE,19.13,clear sky,2.57,1016,50,9.129999999999999,10000
Rastatt,DE,18.28,light rain,3.6,1015,70,12.280000000000001,10000
Stolberg,DE,16.71,overcast clouds,8.27,1011,78,12.31,10000
Goch,DE,17.41,broken clouds,6.17,1008,80,13.41,5000
Nettetal,DE,17.27,broken clouds,5.14,1010,80,13.27,10000
Düren,DE,17.7,broken clouds,7.72,1011,63,10.299999999999999,10000
Pulheim,DE,18.32,overcast clouds,6.5,1010,73,12.92,10000
Bocholt,DE,15.86,overcast clouds,8.18,1009,84,12.66,10000
Bergheim,DE,18.51,broken clouds,7.72,1011,71,12.71,10000
Neuss,DE,17.81,light rain,6.17,1010,78,13.409999999999998,10000
Hamm,DE,16.78,overcast clouds,7.45,1010,87,14.180000000000001,8430
Marl,DE,18.05,overcast clouds,3.13,1008,80,14.05,9568
Lippstadt,DE,17.14,light rain,7.72,1010,79,12.940000000000001,10000
Ahlen,DE,16.77,overcast clouds,7.53,1010,87,14.17,10000
Unna,DE,16.44,few clouds,5.66,1010,84,13.240000000000002,10000
Bad Salzuflen,DE,16.13,light rain,6.63,1010,84,12.93,10000
Siegen,DE,14.97,overcast clouds,5.14,1011,88,12.57,10000
Ratingen,DE,17.67,broken clouds,6.17,1010,71,11.870000000000001,10000
Wesel,DE,18.3,overcast clouds,7.49,1009,79,14.100000000000001,10000
Gelsenkirchen,DE,17.96,overcast clouds,1.79,1011,79,13.760000000000002,8599
Witten,DE,17.07,overcast clouds,5.2,1010,83,13.67,10000
Hilden,DE,17.52,broken clouds,6.17,1010,75,12.52,10000
Grevenbroich,DE,18.03,broken clouds,5.14,1010,78,13.63,10000
Langenfeld,DE,18.13,overcast clouds,4.87,1011,76,13.329999999999998,5614
Dorsten,DE,18.16,overcast clouds,3.13,1008,81,14.36,10000
Kamen,DE,16.76,few clouds,5.66,1010,85,13.760000000000002,10000
Bergkamen,DE,16.89,few clouds,5.66,1010,84,13.690000000000001,10000
Sankt Augustin,DE,17.1,few clouds,4.63,1011,82,13.500000000000002,10000
Rheda-Wiedenbrück,DE,16.88,overcast clouds,7.24,1010,81,13.079999999999998,9970
Oberhausen,DE,17.98,overcast clouds,5.82,1045,73,12.58,7350
Eschweiler,DE,17.34,overcast clouds,8.31,1011,76,12.54,10000
Mettmann,DE,17.3,broken clouds,6.17,1010,68,10.9,10000
Bad Honnef,DE,16.51,light rain,3.9,1012,89,14.310000000000002,10000
Schwelm,DE,15.94,overcast clouds,2.24,1009,87,13.34,10000
Herzogenrath,DE,17.12,scattered clouds,5.14,1009,78,12.72,10000
Viersen,DE,17.44,broken clouds,5.14,1010,80,13.440000000000001,10000
Neukirchen-Vluyn,DE,18.09,overcast clouds,6.96,1010,70,12.09,10000
Kerpen,DE,18.3,broken clouds,7.72,1011,69,12.100000000000001,10000
Geilenkirchen,DE,17.37,light rain,5.14,1010,77,12.770000000000001,10000
Erkelenz,DE,17.46,overcast clouds,8.12,1011,86,14.66,10000
Geldern,DE,17.91,overcast clouds,7.76,1016,73,12.51,10000
Greven,DE,16.5,broken clouds,5.66,1009,88,14.1,10000
Haan,DE,16.79,broken clouds,6.17,1010,72,11.19,10000
Meerbusch,DE,17.88,broken clouds,6.17,1010,72,12.28,10000
Vlotho,DE,15.95,light rain,5.66,1009,83,12.549999999999999,10000
Bad Oeynhausen,DE,15.76,light rain,6.91,1010,88,13.36,10000
Ibbenbueren,DE,15.73,light rain,5.66,1009,88,13.33,10000
Oerlinghausen,DE,15.35,overcast clouds,6.34,1010,83,11.95,7483
Harsewinkel,DE,16.57,overcast clouds,6.84,1009,83,13.17,10000
Versmold,DE,16.46,overcast clouds,6.59,1009,87,13.860000000000001,10000
Gütersloh,DE,16.53,overcast clouds,6.94,1010,83,13.13,8511
Rietberg,DE,16.79,overcast clouds,7.17,1010,80,12.79,8334
Beckum,DE,16.73,overcast clouds,7.52,1010,84,13.530000000000001,10000
Ennigerloh,DE,16.84,overcast clouds,7.96,1010,81,13.04,9306
Warendorf,DE,16.94,overcast clouds,8.04,1009,82,13.340000000000002,9284
Datteln,DE,17.72,overcast clouds,6.01,1010,79,13.52,10000
Coesfeld,DE,15.84,overcast clouds,6.76,1009,91,14.04,10000
Lüdinghausen,DE,17.5,overcast clouds,7.65,1009,82,13.9,7980
Dülmen,DE,17.44,overcast clouds,7.08,1009,72,11.840000000000002,10000
Haltern am See,DE,18.19,overcast clouds,3.13,1006,81,14.39,10000
Oer-Erkenschwick,DE,17.65,overcast clouds,3.13,1007,81,13.849999999999998,10000
Selm,DE,17.48,overcast clouds,7.12,1009,72,11.88,7512
Gladbeck,DE,18.09,overcast clouds,3.13,1008,79,13.89,10000
Castrop-Rauxel,DE,17.3,overcast clouds,5.24,1010,79,13.100000000000001,10000
Recklinghausen,DE,17.53,overcast clouds,2.68,1008,80,13.530000000000001,9309
Herten,DE,18.04,overcast clouds,3.13,1008,79,13.84,10000
Marl,DE,18.05,overcast clouds,3.13,1008,80,14.05,9568
Dortmund,DE,17.09,few clouds,5.66,1011,82,13.49,10000
Schwerte,DE,16.33,few clouds,5.66,1010,85,13.329999999999998,10000
Unna,DE,16.44,few clouds,5.66,1010,84,13.240000000000002,10000
Werne,DE,16.9,few clouds,5.66,1010,84,13.7,10000
Hamm,DE,16.78,overcast clouds,7.45,1010,87,14.180000000000001,8430
Bochum,DE,17.33,overcast clouds,1.79,1011,80,13.329999999999998,10000
Witten,DE,17.07,overcast clouds,5.2,1010,83,13.67,10000
Hattingen,DE,17.59,overcast clouds,1.79,1011,81,13.79,9396
Herne,DE,18.11,overcast clouds,5.78,1009,78,13.709999999999999,10000
Gelsenkirchen,DE,17.96,overcast clouds,1.79,1011,79,13.760000000000002,8599
Oberhausen,DE,17.98,overcast clouds,5.82,1045,73,12.58,7350
Bottrop,DE,17.75,overcast clouds,5.85,1010,78,13.35,8187
Mülheim,DE,17.78,broken clouds,6.17,1030,70,11.780000000000001,10000
Essen,DE,17.54,overcast clouds,1.79,1011,78,13.139999999999999,7530
Velbert,DE,16.47,overcast clouds,5.73,1010,71,10.669999999999998,10000
Wuppertal,DE,16.65,overcast clouds,5.19,1011,87,14.049999999999999,10000
Solingen,DE,16.15,overcast clouds,4.84,1011,91,14.349999999999998,7970
Remscheid,DE,15.81,overcast clouds,5.43,1011,87,13.21,7748
Wiesbaden,DE,17.52,moderate rain,5.66,1013,76,12.719999999999999,10000
Rüsselsheim am Main,DE,17.5,light rain,5.66,1013,81,13.7,10000
Bad Homburg,DE,16.88,overcast clouds,3.53,1013,97,16.279999999999998,10000
Oberursel,DE,16.77,overcast clouds,3.6,1013,77,12.17,10000
Bad Soden,DE,16.61,overcast clouds,4.02,1014,97,16.009999999999998,8725
Kelkheim,DE,16.91,light rain,5.66,1013,75,11.91,10000
Flörsheim,DE,17.5,light rain,5.66,1013,80,13.5,10000
Hattersheim,DE,17.35,light rain,5.66,1013,80,13.350000000000001,10000
Hofheim,DE,17.31,light rain,5.66,1013,79,13.11,10000
Kriftel,DE,17.38,light rain,5.66,1013,79,13.18,10000
Niedernhausen,DE,16.13,light rain,5.66,1015,74,10.93,10000
Raunheim,DE,17.5,light rain,5.66,1013,81,13.7,10000
Schwalbach,DE,15.4,overcast clouds,0.89,1015,85,12.4,10000
Eschborn,DE,17.19,overcast clouds,5.66,1013,73,11.790000000000001,10000
Bad Vilbel,DE,17.09,overcast clouds,4.58,1013,94,15.89,10000
Maintal,DE,16.68,overcast clouds,4.33,1014,78,12.28,10000
Karben,DE,17.16,overcast clouds,4.88,1013,93,15.76,10000
Nidderau,DE,16.73,overcast clouds,5.75,1013,92,15.13,10000
Friedberg,DE,19.13,clear sky,2.57,1016,50,9.129999999999999,10000
Büdingen,DE,14.88,overcast clouds,5.41,1013,95,13.88,10000
Butzbach,DE,14.56,overcast clouds,3.86,1013,93,13.16,10000
Hanau,DE,17.16,overcast clouds,5.27,1014,92,15.56,10000
Seligenstadt,DE,17.13,overcast clouds,4.06,1014,78,12.729999999999999,10000
Hainburg,DE,17.18,overcast clouds,4.72,1014,93,15.78,10000
Obertshausen,DE,17.06,overcast clouds,4.7,1014,78,12.659999999999998,10000
Mühlheim am Main,DE,17.26,overcast clouds,4.83,1014,93,15.860000000000001,10000
Rodgau,DE,17.01,overcast clouds,4.08,1014,81,13.21,10000
Dietzenbach,DE,16.97,overcast clouds,3.6,1013,79,12.77,10000
Dreieich,DE,16.82,overcast clouds,3.6,1014,79,12.620000000000001,10000
Neu Isenburg,DE,17.12,overcast clouds,3.6,1013,79,12.920000000000002,10000
Langen,DE,17.08,overcast clouds,3.6,1014,79,12.879999999999999,10000
Egelsbach,DE,17.11,light rain,3.6,1014,84,13.91,10000
Erzhausen,DE,17.2,light rain,3.6,1014,84,14.0,10000
Griesheim,DE,17.35,light rain,3.6,1013,79,13.150000000000002,10000
Weiterstadt,DE,17.3,light rain,3.6,1014,79,13.100000000000001,10000
Pfungstadt,DE,17.21,light rain,4.69,1014,90,15.21,10000
Seeheim-Jugenheim,DE,16.91,light rain,4.85,1014,92,15.31,10000
Bensheim,DE,17.2,light rain,4.52,1014,79,13.0,10000
